,Unnamed: 0,Unnamed: 0.1,tweets_id,text,author_id,username,user_created_time,user_location,user_name,user_description,geo_place_id,geo_country_code,geo_place_type,geo_full_name,geo_bbox,geo_country,geo_name,date,text_clean,classification_labels,cluster_labels,sentiment_cluster
0,0,1,1340492289030975490,I really hope that Twitter finally suspends Trump’s account after Biden’s inauguration. No one should be able to spread so much misinformation without consequences. #ByeDon,43640713,lydiafhall,2009-05-31T04:25:15.000Z,"Washington, D.C.",Lydia Hall ❄️🌊,"Political nerd, feminist, proud Tufts & Columbia alum, ed/health policy/TV enthusiast, writer/editor/consultant. #stillwithher #resist Views mine. She/her.",01fbe706f872cb32,US,city,"Washington, DC","[-77.119401, 38.801826, -76.909396, 38.9953797]",Etats-Unis,Washington,2020-12-20,realli hope twitter final suspend trump account biden inaugur one abl spread much without consequ byedon,0,56,34.0
1,1,2,1340492264502652929,@ugabarstool Wow go let somebody steal an election already no Georgia team will ever win Anything,2188738014,carroll1_ralph,2013-11-11T17:20:26.000Z,Straight outta ATL,🍀RW🍀,I don’t think you’re applying yourself Smokey,276336654aa4f87a,US,city,"Lafayette, LA","[-92.158649, 30.115967, -91.963704, 30.2961909]",Etats-Unis,Lafayette,2020-12-20,wow go let somebodi steal elect alreadi georgia team ever win anyth,0,33,13.0
2,2,6,1340492231019532290,"@JRubinBlogger @smilingoutloud2 He’s looking for Trump voters to help him , that’s all .",2176046582,mikelm31,2013-11-05T13:07:14.000Z,Ky. New Concord,Michael Manlove,"Retired ,Cancer survivor , fishing , and the Beauty of Ky.,Three years in Marines during Vietnam War, Thirty years at GM , Resist, Happily Married",6ffcf3b0b904bbcb,US,admin,"Kentucky, USA","[-89.57151, 36.497129, -81.964971, 39.147359]",Etats-Unis,Kentucky,2020-12-20,he look trump voter help that,2,1,32.0
3,3,7,1340492214401679360,Trump is a TRAITOR https://t.co/cTVILkCkke,767010325552128005,JUANLAUGHINGATU,2016-08-20T14:48:07.000Z,New Jersey,NUMBER JUAN 🇵🇷🇺🇸,"I believe anything lost can be found
 except wasted time ..",001f79723d2f975e,US,city,"White Horse, NJ","[-74.749703, 40.1482235, -74.6606509, 40.2200089]",Etats-Unis,White Horse,2020-12-20,trump traitor,2,29,12.0
4,4,8,1340492177437151233,One thing for sure Trump has found out who his true friends are and who respects the constitution and rule of law. Those exposed are John Robert’s and most chicken harted Republicans. They are terrified he will be successful in securing a 2nd term.,1169977748128817153,DonaldS83027032,2019-09-06T14:17:12.000Z,Califonia,Donald Shepherd,"Experienced contractor. Hobbies include: motorcycle riding, raising free-thinking grandchildren, and defunding the radical left. #Trump 🔥MAGA",20ba6fb3b1ee82da,US,city,"Orange, CA","[-117.904717, 33.77319, -117.743381, 33.847128]",Etats-Unis,Orange,2020-12-20,one thing sure trump found true friend respect constitut rule law expos john robert chicken hart republican terrifi success secur 2nd term,2,31,15.0
5,5,9,1340492149423521792,@StewartLopez14 @MSNBC Trump LOST money since he was elected. He didn’t take a salary - thats $1.8 million he could have had but donated it.,16478261,TeriCBrownUGA,2008-09-27T00:50:36.000Z,USA,Teri Cooper Brown,"GT Ed 21 yrs; Freelance writer; Published in WaPo; Duke Univ GT Journal; Family Fun; Weekly Reader, etc. Co-author Play, Think & Grow, Abingdon Press.",7142eb97ae21e839,US,admin,"Georgia, USA","[-85.605166, 30.355644, -80.742567, 35.000771]",Etats-Unis,Georgia,2020-12-20,trump lost money sinc elect didnt take salari that 18 million could donat,0,6,26.0
6,6,11,1340492128313626625,Amazing!! Trump saving the world! https://t.co/OLC2Msz8dx,783506734887399424,bso62,2016-10-05T03:18:57.000Z,"Illinois, USA",Beth 🇺🇸 🙏💕🍊🍊,Livelovefreedom!,d50345354159b16c,US,city,"Lake Forest, IL","[-87.942895, 42.200288, -87.8071953, 42.280041]",Etats-Unis,Lake Forest,2020-12-20,amaz trump save world,1,55,26.0
7,7,12,1340492032700116992,@equalearthling @michaelbeatty3 @SidneyPowell1 @realDonaldTrump @LLinWood @GenFlynn That’s a lie ! Why don’t you watch and read about Biden family’s corruption https://t.co/8MxszjtsuC,82811987,adb1210,2009-10-16T06:00:43.000Z,"San Francisco, CA",✥✸✧✸✥ Adalia(✿◠‿◠),❤️I love natures ⛰TraveL🛩my Family👨‍👩‍👧‍👧 gardener💐🍃love to cook🍣🧁Music🎼🎤perfume🍾🐎love all animal🐩🦋🐓God is great🙏 Be kind & stay safe folks 🙏,5ecbd073f39c00fa,US,city,"Hayward, CA","[-122.160814, 37.592632, -122.010737, 37.689909]",Etats-Unis,Hayward,2020-12-20,that lie dont watch read biden famili corrupt,2,16,22.0
8,8,13,1340491964559581184,@Socialiberalist @GOPChairwoman I am in support 100%. We should take our election back from cheating thieves who stole it fraudulently,2608741705,Wen_Porch,2014-07-07T02:06:36.000Z,"Indianapolis, IN",Wendy Porch,Bulls Nation | KC Chiefs | Trainer of MWDogs & Marine Dog Handlers | PROUD Daughter of Vietnam Vet | #MAGA IFB Trumpsters | ❌DM's | No VAX,5e7c11acce63506a,US,city,"Greenfield, IN","[-85.830451, 39.7427, -85.726818, 39.828811]",Etats-Unis,Greenfield,2020-12-20,support 100 take elect back cheat thiev stole fraudul,0,9,0.0
9,9,14,1340491959018921990,"*watching Charlie and the Chocolate Factory*
Mark: ""Charlie us probably a trump supporter now 🙄"" 😂😂😂",3172639107,2ekait,2015-04-16T12:44:11.000Z,"Milpitas, CA",Lady Kait,"Thoughts of a Kait

*heart shared with a Mark*",01a9a39529b27f36,US,city,"Manhattan, NY","[-74.026675, 40.683935, -73.910408, 40.877483]",Etats-Unis,Manhattan,2020-12-20,watch charli chocol factori mark charli us probabl trump support,2,16,19.0
