,Unnamed: 0,Unnamed: 0.1,tweets_id,text,author_id,username,user_created_time,user_location,user_name,user_description,geo_place_id,geo_country_code,geo_place_type,geo_full_name,geo_bbox,geo_country,geo_name,date,text_clean,classification_labels,cluster_labels,sentiment_cluster
0,0,0,810999967607177216,"Overwhelm &amp; distract, a Trump tactic that has obviously worked.  We must embrace it. Punch high, punch low, keep punching until he drops! https://t.co/MnOnLSpIoY",1195697102,rabbithole59,2013-02-19T03:03:16.000Z,"Los Angeles, CA",Sylvia,Clinton/Obama/Clinton/Harris/Biden Democrat @KamalaHarris @HillaryClinton #StillWithHer #StrongerTogether #GoodTrouble #BlackLivesMatter Cogito Ergo Democrat,b075d78174642ce2,US,city,"Palm Desert, CA","[-116.421818, 33.670765, -116.300776, 33.810312]",Etats-Unis,Palm Desert,2016-12-20,overwhelm amp distract trump tactic obvious work must embrac punch high punch low keep punch drop,1,55,50.0
1,1,1,810999962427412480,@GEOFFWOAD69 @OOBYNNO @AP That is irrational. You could easily say the same for Trump. There's no evidence.,9648292,coreyward,2007-10-24T07:38:43.000Z,"Austin, TX",Corey Ward,"Work: Code @Figma. React/Gatsby/Sanity. Personal: I make furniture, fly FPV drones, and shoot photos. Always down for a spontaneous adventure. Opinions my own.",c3f37afa9efcf94b,US,city,"Austin, TX","[-97.928935, 30.127892, -97.5805133, 30.5187994]",Etats-Unis,Austin,2016-12-20,irrat could easili say trump evid,2,3,43.0
2,2,2,810999939757178880,"TRUMP WINS AGAIN. TRUMP 7, Hillary 0. 304 Electoral Votes! Trump Clinches Historic Presidential Victory https://t.co/MMXukmhhPu",23024690,CarlosCruz2016,2009-03-06T03:38:07.000Z,"San Antonio, Texas",ProudAmericanSoldier,"Army Sergeant Major (R), 29 years of service. Christian-Constitution-Conservative.
Followed by:@realEricCarmen @JGilliam_SEAL @iheartmindy @Lrihendry",e0060cda70f5f341,US,admin,"Texas, USA","[-106.645646, 25.837092, -93.508131, 36.500695]",Etats-Unis,Texas,2016-12-20,trump win trump 7 hillari 0 304 elector vote trump clinch histor presidenti victori,1,21,18.0
3,3,3,810999934514331648,"To me, it doesn't matter anymore if Clinton was a bad candidate (She was), because Trump was always going to be infinitely worse.",237961072,QuestForTori,2011-01-14T01:36:27.000Z,"Everett, WA",~ Ｍ ＡＣＩＮＴＯＳＨ ＭＩＮＵＳ ~,"Victoria Rose | Bi trans girl (She/Her) | Game/UX Designer | Creator of Secret Little Haven | Gay cartoon animal IRL | 💞 @moomanibe, @BinaryVixen899 & etc.",c3f37afa9efcf94b,US,city,"Austin, TX","[-97.928935, 30.127892, -97.5805133, 30.5187994]",Etats-Unis,Austin,2016-12-20,matter anymor clinton bad candid trump alway go infinit wors,0,42,31.0
4,4,4,810999929048993793,@TyHyCHI The SCOTUS is missing one justice. The 4 conservaturds on the bench WILL NOT disqualify tRump! End of story! 4 vs 4 is a tie!,16170888,jmichelo,2008-09-07T16:37:14.000Z,"downtown Los Angeles, CA",Jean-Michel Ormand,"Actor/dancer (orig. AmericanBandstand dancer)/veteran, progressive activist 4 Atheists/LGBTs/women/children/immigrants. Racism/bigotry/homophobia/tRump freezone",3b77caf94bfc81fe,US,city,"Los Angeles, CA","[-118.668404, 33.704538, -118.155409, 34.337041]",Etats-Unis,Los Angeles,2016-12-20,scotu miss one justic 4 conservaturd bench disqualifi trump end stori 4 vs 4 tie,0,18,21.0
5,5,5,810999927769853953,"WGBH PBS Boston ""Moving On"" from the 2016 General Election and The Electoral College https://t.co/cBZ9FVWTX3",271027174,kpjaibur,2011-03-23T18:26:18.000Z,"Bensalem, PA",Kevin Jaibur ✝️ Follow Me on Gettr,"Consultant, Strategic Planner, Manager, Facilitator, Husband,  Father, Native Vermonter, Bos. pro teams fan, Certified in Ministry team formation & guidance.",00ca00906ca4c6d4,US,city,"Bensalem, PA","[-74.994551, 40.048711, -74.898263, 40.155775]",Etats-Unis,Bensalem,2016-12-20,wgbh pb boston move 2016 gener elect elector colleg,2,39,11.0
6,6,6,810999924192120832,@Smith83K @HuffPostPol There are no 'faithless electors.' Their job is NOT to rubber stamp an election. Sheesh.,284738545,Eradona,2011-04-19T21:44:58.000Z,"Florida, USA",Mothra,"Created by Gaia to protect the Earth 🌏 against all threats, esp. the Orange Monster in the White House. #TheResistance #votebluenomatterwho",fbd1502e5edce6bf,US,city,"Cape Coral, FL","[-82.069567, 26.531814, -81.9041014, 26.741146]",Etats-Unis,Cape Coral,2016-12-20,faithless elector job rubber stamp elect sheesh,2,30,9.0
7,7,8,810999913505026048,@FoxNews @TuckerCarlson Tell your guest Trump was elected because he is not a politician,778312690787844096,l_garrison1,2016-09-20T19:19:40.000Z,"Dallas, TX",Gary L Garrison,"I am a 23 year USAF Veteran, Retired Firefighter, Patriot, and staunch believer of freedom and democracy.",6613abf67d2b0d39,US,city,"Palm Coast, FL","[-81.279617, 29.424649, -81.158741, 29.627243]",Etats-Unis,Palm Coast,2016-12-20,tell guest trump elect politician,2,20,55.0
8,8,9,810999875080835072,@radsegatapes now we all have to deal with Trump because of her complete ineptitude and now we're getting blamed for it.,14949094,disco_socialist,2008-05-29T22:34:49.000Z,"Portland, OR",𝐛𝐫𝐞𝐚𝐤𝐛𝐞𝐚𝐭 𝐭𝐚𝐤𝐞𝐬𝐡𝐢 🏳️‍🌈,🧔🏾 biracial 🏳️‍🌈 queer 👨🏾‍🏭 working class ♂️ cis [he / him],ac88a4f17a51c7fc,US,city,"Portland, OR","[-122.7900653, 45.421863, -122.471751, 45.6509405]",Etats-Unis,Portland,2016-12-20,deal trump complet ineptitud get blame,0,26,23.0
9,9,10,810999848564424705,"@ShaunWebbAuthor @ElectoralCollge  they will suffer with the rest of us eventually, trump is only for himself",4732288278,BigotBeGone2,2016-01-09T08:05:57.000Z,Tír na hÓige ,EndTheTyranny #WeStandWithUkraine #SupportAllKids,"Married Democrat and Independent, sharing twitter. Socially liberal, politically moderate. Veteran, Photography, Community Psych. The rest is perks.",96683cc9126741d1,US,country,Etats-Unis,"[-179.231086, 13.182335, 179.859685, 71.434357]",Etats-Unis,Etats-Unis,2016-12-20,suffer rest us eventu trump,2,21,3.0
