tweets_id,text,author_id,username,user_created_time,user_location,user_name,user_description,geo_place_id,geo_country_code,geo_place_type,geo_full_name,geo_bbox,geo_country,geo_name,date
812836015396229121,Jill Stein asks Loretta Lynch to probe US #election system https://t.co/QJH5ZsmiCC via @DCExaminer,1865621094,911NoPlaner,2013-09-15T01:09:19.000Z,Lower Manhattan,9/11 No Planer 🥶,"for educational purposes!

TWEETS & FOLLOWS ARE !NOT ENDORSEMENTS!!!

all networks aired fake videos on 9/11!!!

It's just a set up!",01a9a39529b27f36,US,city,"Manhattan, NY","[-74.026675, 40.683935, -73.910408, 40.877483]",Etats-Unis,Manhattan,2016-12-25
812835934983036929,3 kids received Trump t-shirts from me for Christmas...out here doing my duty and spreading the message. #MAGA,494355557,bryan_mcknight,2012-02-16T20:23:05.000Z,Texas,Bryan McKnight,"Tweets will offend — Lover of Texas, America, and country music.",e0060cda70f5f341,US,admin,"Texas, USA","[-106.645646, 25.837092, -93.508131, 36.500695]",Etats-Unis,Texas,2016-12-25
812835916922294272,"@thehill   Trump your not ""Moses""?",2270628523,DuluthLPD6,2013-12-31T17:20:11.000Z,"Azusa, CA",LPD6,,59105f0e84773bdd,US,city,"Azusa, CA","[-117.9491871, 34.10673, -117.881336, 34.169447]",Etats-Unis,Azusa,2016-12-25
812835899461566466,@ATLSportsNate Was not thinking election but did notice we seem to suck on odd years but are good on even years. don't forget 1998 and 1980,279654899,BrianOHern,2011-04-09T18:36:23.000Z,"Atlanta, GA",Brian O'Hern,"Love Sports! Falcons,Braves,Gladiators and Motor Sports. Miss my Thrashers too.",7142eb97ae21e839,US,admin,"Georgia, USA","[-85.605166, 30.355644, -80.742567, 35.000771]",Etats-Unis,Georgia,2016-12-25
812835893186822144,"@TEN_GOP Karma's a bitch, and she's a nasty one at that! https://t.co/zrp6WqutLy #TrumpFoundation https://t.co/PhJNGSf5om",25346069,crewoldt,2009-03-19T17:40:35.000Z,DFW USA,Christian☀️,"#veteran fighting for progress, public education, equality, integrity, human rights and justice for all😡 Blocked by Chachi🙌",a612c69b44b2e5da,US,admin,"Arizona, USA","[-114.818269, 31.3322463, -109.0451527, 37.004261]",Etats-Unis,Arizona,2016-12-25
812835790178975744,Trump won all except Boston Chicago Los Angeles&amp;NYC where welfare recipients &amp; Illegals went 9-1 for more freebies https://t.co/TKOoGUoIYS,525504974,acu1876,2012-03-15T16:09:53.000Z,In a basket of DEPORABLES,A DEPLORABLE PATRIOT,"Author, Historian and A Renaisance Man",01d5f73e5608124b,US,city,"Kirkland, NC","[-77.7995409, 34.275152, -77.731864, 34.324254]",Etats-Unis,Kirkland,2016-12-25
812835716761878528,I'm going to miss @FLOTUS ... Melania Trump doesn't even know what it's like to be a part of USA systems and life...,22083526,kimberlylouvin,2009-02-27T00:10:27.000Z,"Portland, OR",Kimberly Louvin,✨🔥💙🧩🧙🏼‍♀️🌊🌬⛓✨ 😇🙏🏻 Nashville ➡️ PNW 🏔🧘🏻‍♀️ Yin Yoga Teacher / Social Worker Granddaughter of #louvinbrothers #exvangelical,db6c24fcc9e59ba4,US,city,"Hendersonville, TN","[-86.674887, 36.248263, -86.4953126, 36.366587]",Etats-Unis,Hendersonville,2016-12-25
812835708524171264,"Just FYI, he stole the idea from Cruz
https://t.co/jrSwwwOYWF https://t.co/3X4jJvIkWY",413470255,TimothyODonnel2,2011-11-15T22:46:12.000Z,#catholic Commonwealth of VA,Tim O'Donnell,"married Army Veteran, I’m sad to say Tim passed away on Nov 25 . I’m his wife . we would have been married 24 years January 2nd",fb7c1db180c09183,US,city,"Harrisonburg, VA","[-78.918345, 38.387443, -78.824223, 38.489169]",Etats-Unis,Harrisonburg,2016-12-25
812835642375712768,"@CheesbroV @bidani_bechir @MSNBC 
since Trump never gets it right it's 700 of the 1300.",700512482318635009,conrad1058,2016-02-19T02:49:25.000Z,Etats-Unis,Conrad Sieber,,4da74513442e5fc5,US,city,"Corvallis, OR","[-123.343425, 44.527244, -123.215262, 44.611247]",Etats-Unis,Corvallis,2016-12-25
812835549308395521,Watching #itsawonderfullife is much different this year. I can't help but see Trump in Mr. Potter. #ResistTrump   https://t.co/Nlkis0jofo,58212435,JeffFromNH,2009-07-19T14:57:55.000Z,"Rhode Island, USA",Just Jeff 🇺🇸🇺🇦,"No one starts a war over renewable energy, and Culture Wars are for losers. #StandWithUkraine #CultureWars",7b93be1d864cedbb,US,city,"Providence, RI","[-71.4741855, 41.772455, -71.369479, 41.861713]",Etats-Unis,Providence,2016-12-25
812835486729441285,@areyou0 Coming Trump debacle is so worrisome because Trump seemingly oblivious to real world. https://t.co/3IWdbS1MzY,3072653847,Hester216P,2015-03-05T16:06:45.000Z,"Illinois, USA",paul hester,Retired LPN. Bakery Manager part time. Traveler.,3227bcceb76b6a37,US,city,"Naperville, IL","[-88.2595981, 41.6655839, -88.063045, 41.8314084]",Etats-Unis,Naperville,2016-12-25
812835456543031296,"To be fair, my Step Father was the one who brought up Trump first.",589431637,GianmarcoSoresi,2012-05-24T21:14:37.000Z,"New York, NY",gianmarco,Stand-up comic/child of divorce,01fbe706f872cb32,US,city,"Washington, DC","[-77.119401, 38.801826, -76.909396, 38.9953797]",Etats-Unis,Washington,2016-12-25
812835444975169538,"Bill Maher just broke his silence to address the Trump administration. 
https://t.co/aVZj7mwF2a",31129627,JFKii,2009-04-14T14:11:38.000Z,"Harlem, NYC",JFK 𓅊,"CEO @InclusionScore, Author of #Inclusionism ≥
Engineer, Economist, Lecturer @UniversityOfGA
First Black LGBTQ Person for 🇺🇲 Congress
Pronouns: He/Her/Heru𓅊",1abb3fe80ce0b295,US,city,"Robertsville, NJ","[-74.327314, 40.3152254, -74.2608082, 40.3706058]",Etats-Unis,Robertsville,2016-12-25
812835341065449472,@Real_AllenR Funny how this #Trump guy has a picture of the #AltRight Pepe on his profile indicating he's a White Nationalist @splcenter https://t.co/OKCTYdmXx3,25346069,crewoldt,2009-03-19T17:40:35.000Z,DFW USA,Christian☀️,"#veteran fighting for progress, public education, equality, integrity, human rights and justice for all😡 Blocked by Chachi🙌",a612c69b44b2e5da,US,admin,"Arizona, USA","[-114.818269, 31.3322463, -109.0451527, 37.004261]",Etats-Unis,Arizona,2016-12-25
812835272689909760,@WayneDupreeShow Collective ex-Presidents can go to h*ll.  They almost destroyed this country.  Thank God for Trump!  Merry Christmas!,3325070438,sandrajeanne48,2015-08-22T21:55:41.000Z,,Sandra For TRUMP,"Patriot, military brat, love the American Dream! Retired teacher of 33+ years. Love the youth of today!! TRUMP is MAKING AMERICA GREAT AGAIN!!",019e22a02a5e2553,US,city,"Gulfport, MS","[-89.137059, 30.3517736, -89.001207, 30.5002804]",Etats-Unis,Gulfport,2016-12-25
812835212858167301,"Trump confidant says Michelle Obama belongs with African gorillas, wishes death upon the president

https://t.co/7tcF1OYBtm",333014276,OMAHAGEMGIRL,2011-07-10T20:43:00.000Z,"Omaha, NE",Janice Jhana Elks🇺🇸🇺🇦,"55 yo Military Brat🇺🇲 #Biden
🎙Recovering DJ
🔬Science
🏘Real Estate Investor
☠Punk Rock
⚒Rockhound💎
❎Elect Legislators Not Agitators",a84b808ce3f11719,US,city,"Omaha, NE","[-96.234587, 41.175884, -95.872275, 41.375558]",Etats-Unis,Omaha,2016-12-25
812835136655892481,"While Obama Plays Golf On Taxpayer Dime, Donald Trump Makes Stunning Announcement https://t.co/DSskHvjZvo",85096288,bsbct,2009-10-25T14:59:55.000Z,"Orange County, CA",Bruce,🇺🇸🇺🇸🇮🇱🇺🇸🇺🇸,3d533362cdab8107,US,city,"Irvine, CA","[-117.86894, 33.606077, -117.695781, 33.773387]",Etats-Unis,Irvine,2016-12-25
812835085137354753,"@ladyinchief @CHOCLABLOVER  luckily, NY AG not allowing Trump to do it.  There must be something interesting going on.",66914769,mydoggigi,2009-08-19T04:55:41.000Z,Earth,Kathy,"Democrat, #BidenHarris. Love my grandkids, French Bulldogs and politics. Democrats saved democracy. #VoteBlue",e4a0d228eb6be76b,US,city,"Philadelphia, PA","[-75.280284, 39.871811, -74.955712, 40.13792]",Etats-Unis,Philadelphia,2016-12-25
812834974613336064,"Donald Trump to dissolve his charitable foundation after mounting complaints

Like this is his biggest conflict.

https://t.co/vwjppt9qfc",333014276,OMAHAGEMGIRL,2011-07-10T20:43:00.000Z,"Omaha, NE",Janice Jhana Elks🇺🇸🇺🇦,"55 yo Military Brat🇺🇲 #Biden
🎙Recovering DJ
🔬Science
🏘Real Estate Investor
☠Punk Rock
⚒Rockhound💎
❎Elect Legislators Not Agitators",a84b808ce3f11719,US,city,"Omaha, NE","[-96.234587, 41.175884, -95.872275, 41.375558]",Etats-Unis,Omaha,2016-12-25
812834956129038336,Getting me through the holiday season in Trump country https://t.co/xq9m4zR5C6,42623526,kcoopy,2009-05-26T13:28:23.000Z,Brooklynati,Kat Cooper,"pedestrian, occasional mouth breather, wearer of clothes, show me love : $kcoopy",38eac672dfddf28e,US,city,"Wyoming, OH","[-84.5041, 39.2157817, -84.464178, 39.245078]",Etats-Unis,Wyoming,2016-12-25
812834921718939649,@KatieKummet @ChristieCNY NH is actually part of the US. The news reported NH went to Trump and then didn't say anything when Clinton won.,1468141,abellware,2007-03-19T03:40:05.000Z,"Jersey City, NJ",Andrew Bellware,"There is absolutely no reason to follow me on Twitter. I promise to not say anything important here. Really I just twitter to bookmark my place.
He/him",01448c9d3cdcbe70,US,city,"Plainsboro, NJ","[-74.630416, 40.299558, -74.565011, 40.365216]",Etats-Unis,Plainsboro,2016-12-25
tweets_id,text,author_id,username,user_created_time,user_location,user_name,user_description,geo_place_id,geo_country_code,geo_place_type,geo_full_name,geo_bbox,geo_country,geo_name,date
812877227641729025,"I want Donald Trump to start proposing internet lockdown on porn, because it's the only thing that will unite the two parties against him.",278847352,MikeKillam,2011-04-08T02:49:49.000Z,"Chicago, IL",Mike Killam,He/Him | TV & Movie Features Editor at @ScreenRant | Korean-American Despite Looking White AF | Former Pro-Wrestling Journalist,8e9665cec9370f0f,US,city,"Minneapolis, MN","[-93.329515, 44.889964, -93.194578, 45.051257]",Etats-Unis,Minneapolis,2016-12-25
