,Unnamed: 0,Unnamed: 0.1,tweets_id,text,author_id,username,user_created_time,user_location,user_name,user_description,geo_place_id,geo_country_code,geo_place_type,geo_full_name,geo_bbox,geo_country,geo_name,date,text_clean,classification_labels,cluster_labels,sentiment_cluster
0,0,0,1340087860028837889,"Dereje Tola, a potential candidate of OLF in West Wellega Oromia is in prison.#FreeAllPoliticalPrisonersInEthiopia first to conduct a free and fair election.
@UNDP @EUinEthiopia @DFID_UK @StateDept @USAID @NEBEthiopia @JosepBorrellF
#Plus178CandidatesBehindBars via @OromoCause",1272064399,RAJIDINKA,2013-03-16T11:14:51.000Z,minneapolis ,Raji A Dinka,"In our struggle for freedom, truth is the only weapon we possess. Dalai Lama",8e9665cec9370f0f,US,city,"Minneapolis, MN","[-93.329515, 44.889964, -93.194578, 45.051257]",Etats-Unis,Minneapolis,2020-12-19,derej tola potenti candid olf west wellega oromia first conduct free fair elect via,1,52,1.0
1,1,1,1340087846753857536,"Tsegaye Getachew, a potential candidate of OLF in West Wellega Oromia is in Prison. #FreeAllPoliticalPrisonersInEthiopia first to conduct a free and fair election.
@UNDP @EUinEthiopia @DFID_UK @StateDept @USAID @NEBEthiopia @JosepBorrellF
#Plus178CandidatesBehindBars",1272064399,RAJIDINKA,2013-03-16T11:14:51.000Z,minneapolis ,Raji A Dinka,"In our struggle for freedom, truth is the only weapon we possess. Dalai Lama",8e9665cec9370f0f,US,city,"Minneapolis, MN","[-93.329515, 44.889964, -93.194578, 45.051257]",Etats-Unis,Minneapolis,2020-12-19,tsegay getachew potenti candid olf west wellega oromia prison first conduct free fair elect,1,52,1.0
2,2,3,1340087830681292801,"Abdi Kumsa, a potential cndidate of OLF in Oromia is in Prison. #FreeAllPoliticalPrisonersInEthiopia first to conduct a free and fair election.
@UNDP @EUinEthiopia @DFID_UK @StateDept @USAID @NEBEthiopia @JosepBorrellF
#Plus178CandidatesBehindBars",1272064399,RAJIDINKA,2013-03-16T11:14:51.000Z,minneapolis ,Raji A Dinka,"In our struggle for freedom, truth is the only weapon we possess. Dalai Lama",8e9665cec9370f0f,US,city,"Minneapolis, MN","[-93.329515, 44.889964, -93.194578, 45.051257]",Etats-Unis,Minneapolis,2020-12-19,abdi kumsa potenti cndidat olf oromia prison first conduct free fair elect,2,2,3.0
3,3,4,1340087816210927616,"Bonsa Hailu, a potential candidate of OLF in West Shewa Oromia is in prison. #FreeAllPoliticalPrisonersInEthiopia first to conduct a free and fair election.
@UNDP @EUinEthiopia @DFID_UK @StateDept @USAID @NEBEthiopia @JosepBorrellF
#Plus178CandidatesBehindBars",1272064399,RAJIDINKA,2013-03-16T11:14:51.000Z,minneapolis ,Raji A Dinka,"In our struggle for freedom, truth is the only weapon we possess. Dalai Lama",8e9665cec9370f0f,US,city,"Minneapolis, MN","[-93.329515, 44.889964, -93.194578, 45.051257]",Etats-Unis,Minneapolis,2020-12-19,bonsa hailu potenti candid olf west shewa oromia prison first conduct free fair elect,1,52,1.0
4,4,5,1340087798963924993,"Amanuel Bekta, a potential candidate of OLF in East Wellega Oromia is In prison #FreeAllPoliticalPrisonersInEthiopia first to conduct a free and fair election.
@UNDP @EUinEthiopia @DFID_UK @StateDept @USAID @NEBEthiopia @JosepBorrellF
#Plus178CandidatesBehindBars via @OromoCause",1272064399,RAJIDINKA,2013-03-16T11:14:51.000Z,minneapolis ,Raji A Dinka,"In our struggle for freedom, truth is the only weapon we possess. Dalai Lama",8e9665cec9370f0f,US,city,"Minneapolis, MN","[-93.329515, 44.889964, -93.194578, 45.051257]",Etats-Unis,Minneapolis,2020-12-19,amanuel bekta potenti candid olf east wellega oromia prison first conduct free fair elect via,1,52,1.0
5,5,6,1340087775366791168,"Moa Abdisa, a potential candidate of OLF in Oromia is in Prison. #FreeMoaAbdisa and #FreeAllPoliticalPrisonersInEthiopia first to conduct a free and fair election.
@UNDP @EUinEthiopia @DFID_UK @StateDept @USAID @NEBEthiopia @JosepBorrellF
#Plus178CandidatesBehindBars",1272064399,RAJIDINKA,2013-03-16T11:14:51.000Z,minneapolis ,Raji A Dinka,"In our struggle for freedom, truth is the only weapon we possess. Dalai Lama",8e9665cec9370f0f,US,city,"Minneapolis, MN","[-93.329515, 44.889964, -93.194578, 45.051257]",Etats-Unis,Minneapolis,2020-12-19,moa abdisa potenti candid olf oromia prison freemoaabdisa first conduct free fair elect,1,52,1.0
6,6,7,1340087758090473473,"Geda Bulti, a potential candidate of OLF in Oromia is in prison.#FreeAllPoliticalPrisonersInEthiopia first to conduct a free and fair election.
@UNDP @EUinEthiopia @DFID_UK @StateDept @USAID @NEBEthiopia @JosepBorrellF
#Plus178CandidatesBehindBars",1272064399,RAJIDINKA,2013-03-16T11:14:51.000Z,minneapolis ,Raji A Dinka,"In our struggle for freedom, truth is the only weapon we possess. Dalai Lama",8e9665cec9370f0f,US,city,"Minneapolis, MN","[-93.329515, 44.889964, -93.194578, 45.051257]",Etats-Unis,Minneapolis,2020-12-19,geda bulti potenti candid olf oromia first conduct free fair elect,1,52,1.0
7,7,8,1340087756538716161,Revenge of the Math - Why did Texas lawsuit say that Biden's win was 1 in a quadrillion? https://t.co/TT6PzfwVIi,15112060,digitalcaffeine,2008-06-13T22:19:20.000Z,"St. Charles, MO USA",Piper,"Husband, Geek Dad, Freemason, AASR, Knights of St. Andrew, Sys Analyst, Jack-of-all-Trades Tech, Love Science Fiction/Fantasy, Brewing Beer and Wine",13eb8d7f6e12a684,US,city,"St Charles, MO","[-90.5706573, 38.737756, -90.464711, 38.848337]",Etats-Unis,St Charles,2020-12-19,reveng math texa lawsuit say biden win 1 quadrillion,2,39,27.0
8,8,9,1340087752755453953,@ProfMMurray Thank you for this thread. The holier than thou attitudes surrounding Dr Biden makes my skin crawl. They may not appreciate the subject of her dissertation but how many of the authors of these hit pieces have their own PhDs,1161660768,Sticcibunns69,2013-02-09T01:34:59.000Z,NC/USA,Marg in the Majority! 🌊,"mother of 2 strong (future) women, waking from the nightmare, fighting to preserve their rights, GO 46!",3b98b02fba3f9753,US,admin,"North Carolina, USA","[-84.3219475, 33.752879, -75.40012, 36.588118]",Etats-Unis,North Carolina,2020-12-19,thank thread holier thou attitud surround dr biden make skin crawl may appreci subject dissert mani author hit piec phd,1,31,14.0
9,9,10,1340087741933965312,"Bonsa Befikadu, potential candidate of OLF in Oromia is in prison never appeared before court. #FreeAllPoliticalPrisonersInEthiopia first to conduct a free and fair election
@UNDP @EUinEthiopia @DFID_UK @StateDept @USAID @NEBEthiopia @JosepBorrellF
#Plus178CandidatesBehindBars",1272064399,RAJIDINKA,2013-03-16T11:14:51.000Z,minneapolis ,Raji A Dinka,"In our struggle for freedom, truth is the only weapon we possess. Dalai Lama",8e9665cec9370f0f,US,city,"Minneapolis, MN","[-93.329515, 44.889964, -93.194578, 45.051257]",Etats-Unis,Minneapolis,2020-12-19,bonsa befikadu potenti candid olf oromia prison never appear court first conduct free fair elect,1,52,24.0
10,10,12,1340087724049633281,"Adugna Keso, a potential candidate of OLF In Oromia is in Prison. #FreeAllPoliticalPrisonersInEthiopia first to conduct a free and fair election.
@UNDP @EUinEthiopia @DFID_UK @StateDept @USAID @NEBEthiopia @JosepBorrellF
#Plus178CandidatesBehindBars",1272064399,RAJIDINKA,2013-03-16T11:14:51.000Z,minneapolis ,Raji A Dinka,"In our struggle for freedom, truth is the only weapon we possess. Dalai Lama",8e9665cec9370f0f,US,city,"Minneapolis, MN","[-93.329515, 44.889964, -93.194578, 45.051257]",Etats-Unis,Minneapolis,2020-12-19,adugna keso potenti candid olf oromia prison first conduct free fair elect,1,52,1.0
11,11,13,1340087715899920384,@JordanChariton @ewarren @BernieSanders She is so pissed her hatchet job on Bernie did not get her a job with Biden .,2736331149,Oteachjohn,2014-08-07T17:06:58.000Z,Where I am now!,John Jenkins. Apprentice Curmudgeon,"Father, birder, rancher, hunter, naturalist, Sophant, Tenalach, nutritionalist, Ex teacher, Drathaar, perspicacious, tautologist, nemophilist, Orgasams for all.",d2ddff69682ae534,US,admin,"Montana, USA","[-116.050004, 44.35821, -104.039563, 49.00139]",Etats-Unis,Montana,2020-12-19,piss hatchet job berni get job biden,0,9,26.0
